index,CadType,LeadingTones,CVFs,Low,RelLow,Tone,RelTone,TSig,Measure,Beat,Sounding,Progress,SinceLast,ToNext,URL,0,1,2,3,4,5
12.0,Authentic,1,tCB,B-2,m3,B-,m3,4/2,2,3.0,4,0.03,12.0,28.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,B,,
40.0,Authentic,1,TuCB,D3,P5,D,P5,4/2,6,1.0,4,0.101,28.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,T,u,C,B,,
60.0,Clausula Vera,1,tCT,G2,P1,G,P8,4/2,8,3.0,4,0.152,20.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,T,,
76.0,Authentic,1,CuTB,G2,P1,G,P8,4/2,10,3.0,4,0.192,16.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,u,T,B,,
92.0,Authentic,1,tCB,B-2,m3,B-,m3,4/2,12,3.0,4,0.232,16.0,28.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,B,,
120.0,Authentic,1,TuCB,D3,P5,D,P5,4/2,16,1.0,4,0.303,28.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,T,u,C,B,,
140.0,Clausula Vera,1,tCT,G2,P1,G,P8,4/2,18,3.0,4,0.354,20.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,T,,
156.0,Authentic,1,CuTB,G2,P1,G,P8,4/2,20,3.0,4,0.394,16.0,36.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,u,T,B,,
192.0,Authentic,1,CuTB,B-2,m3,B-,m3,4/2,25,1.0,4,0.485,36.0,36.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,u,T,B,,
228.0,Phrygian,1,CTP,D3,P5,A,M2,4/2,29,3.0,4,0.576,36.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,-,T,P,,
248.0,Authentic,1,tCB,B-2,m3,B-,m3,4/2,32,1.0,4,0.626,20.0,28.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,B,,
276.0,Authentic,1,TuCB,D3,P5,D,P5,4/2,35,3.0,4,0.697,28.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,T,u,C,B,,
296.0,Clausula Vera,1,tCT,G2,P1,G,P8,4/2,38,1.0,4,0.747,20.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,T,,
312.0,Authentic,1,CTB,G2,P1,G,P8,4/2,40,1.0,4,0.788,16.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,-,T,B,,
332.0,Authentic,1,tCB,B-2,m3,B-,m3,4/2,42,3.0,4,0.838,20.0,28.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,B,,
360.0,Authentic,1,TuCB,D3,P5,D,P5,4/2,46,1.0,4,0.909,28.0,20.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,T,u,C,B,,
380.0,Clausula Vera,1,tCT,G2,P1,G,P8,4/2,48,3.0,4,0.96,20.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,t,-,C,T,,
396.0,Authentic,1,CTB,G2,P1,G,P8,10/2,50,3.0,4,1.0,16.0,16.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0012.mei,C,-,T,B,,
24.0,Evaded Clausula Vera,1,tC,G3,P8,G,P8,4/2,4,1.0,3,0.03,24.0,24.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0023.mei,t,C,-,-,-,-
48.0,Authentic,1,BC,G3,P8,G,P8,4/2,7,1.0,3,0.059,24.0,12.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0023.mei,-,B,C,-,-,-
60.0,Evaded Authentic,1,Cu,B2,M3,G,P8,4/2,8,3.0,4,0.074,12.0,8.0,/Users/amor/Desktop/Code/intervals/CRIM_Model_0023.mei,-,C,-,-,-,u
