Ngram,N,LowerCVF,UpperCVF
"1_Held, 2_-2, 3_-2, 4_2, 3_2, 1",6,Cantizans,Tenorizans
"3_2, 1_Held, 2_-2, 3_2, 1",5,Cantizans,Tenorizans
"1_Held, 2_-2, 3_2, 3",4,Cantizans,Tenorizans
"3_Held, 2_-2, 3_2, 1",4,Cantizans,Tenorizans
"3_Held, 2_-2, 3_1, 2_Held, 1_Held, 2_-2, 3_2, 1",8,Cantizans,Tenorizans
"6_-2, 7_Held, 6_-2, 7_-2, 8_2, 7_Held, 6_-2, 8",8,Tenorizans,Cantizans
"8_Held, 7_Held, 6_-2, 7_Held, 6_-2, 8",6,Tenorizans,Cantizans
"6_-2, 7_Held, 6_-2, 8",4,Tenorizans,Cantizans
"7_Held, 6_-2, 7_-2, 8_2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"3_-2, 3_1, 3_Held, 2_Held, 1_Held, 2_-2, 3_-2, 4_2, 3_2, 1",10,Cantizans,Tenorizans
"3_-2, 3_Held, 2_-2, 3_2, 3",5,Cantizans,Tenorizans
"3_Held, 2_-2, 3_1, 2_Held, 1_Held, 2_-2, 3_2, 1",8,Cantizans,Tenorizans
"6_2, 5_2, 4_2, 3_Held, 3_Held, 2_-2, 3_2, 1",8,Cantizans,Tenorizans
"3_2, 1_Held, 2_-2, 3_2, 3",5,Cantizans,Tenorizans
"8_Held, 7_Held, 6_-2, 7_Held, 6_-2, 8",6,Tenorizans,Cantizans
"6_-2, 7_-2, 7_-2, 8_2, 7_Held, 6_2, 6",7,Tenorizans,Cantizans
"6_-2, 6_-2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"6_Held, 5_-2, 6_-2, 7_Held, 6_-2, 8",6,Tenorizans,
"10_2, 9_Held, 8_Held, 8_2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"8_2, 7_Held, 6_2, 5_-3, 7_Held, 6_-2, 8",7,Tenorizans,
"10_2, 9_Held, 8_3, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"3_-3, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"2_Held, 3_-2, 3_-2, 7_-2, 8_2, 7_Held, 6_-2, 8",8,Tenorizans,
"10_2, 9_Held, 8_3, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"10_2, 9_Held, 8_Held, 8_2, 7_Held, 6_-2, 8",7,Tenorizans,
"-3_Held, 1_-2, 2_-2, 3_-2, 4_-2, 6_-2, 8",7,Tenorizans,Cantizans
"5_Held, 4_-2, 5_-2, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"3_-3, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"5_-2, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,
"-3_Held, 1_-2, 2_-2, 3_-2, 4_-2, 6_-2, 8",7,Tenorizans,Cantizans
"3_Held, 1_-2, 5_-2, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,
"6_-2, 6_-2, 7_-2, 8_2, 7_Held, 6_-2, 8",7,Tenorizans,
"3_-3, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"6_-2, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,
"-3_Held, 1_-2, 2_-2, 3_-2, 4_-2, 6_-2, 8",7,Tenorizans,Cantizans
"6_-2, 7_-2, 7_-2, 8_2, 7_Held, 6_-2, 8",7,,
"3_Held, 1_-2, 3_2, 1",4,Cantizans,Tenorizans
"5_-3, 7_Held, 6_-2, 8",4,Tenorizans,
"6_-2, 6_-2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"8_2, 7_Held, 6_-2, 8_Held, 5_Held, 6_Held, 5",7,Tenorizans,Cantizans
"7_-3, 9_Held, 8_3, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,Cantizans
"7_-3, 9_Held, 8_3, 6_-2, 7_Held, 6_-2, 8",7,Tenorizans,
"3_-3, 8_2, 7_Held, 6_-2, 8",5,Tenorizans,Cantizans
"8_2, 7_Held, 6_-2, 8",4,Tenorizans,
