Key,CadType,Evaded,LeadingTones
C1T-2,Clausula Vera,False,1
C2T-2,Clausula Vera,False,0
C3T-2,Clausula Vera,False,1
A1C1T-2,Double Leading Tone,False,1
A2C1T-2,Clausula Vera,False,1
A2C2T-2,Clausula Vera,False,0
A2C3T-2,Clausula Vera,False,1
A3C3T-2,Double Leading Tone,False,1
C1t2,Clausula Vera,True,1
C1t1,Clausula Vera,True,1
C2t1,Clausula Vera,True,1
C2t2,Clausula Vera,True,1
C3t2,Clausula Vera,True,1
C3t1,Clausula Vera,True,1
A1C1t2,Clausula Vera,True,1
A1C1t1,Clausula Vera,True,1
A1C3t2,Clausula Vera,True,1
A1C3t1,Clausula Vera,True,1
A2C1t2,Clausula Vera,True,1
A2C1t1,Clausula Vera,True,1
A2C3t2,Clausula Vera,True,1
A2C3t1,Clausula Vera,True,1
A3C3t2,Clausula Vera,True,1
A3C3t1,Clausula Vera,True,1
C2T-1,Phrygian,False,1
A2C2T-1,Phrygian,False,1
A3C3T-1,Phrygian,False,1
A2C3T-1,Phrygian,False,1
A1T-2,Altizans Only,False,1
A2T-2,Altizans Only,False,0
A2T-1,Phrygian Altizans,False,1
C2P-5T-1,Plagal,False,1
C2P7T-1,Plagal,False,1
B-7C1,Authentic,False,1
B-7C2,Authentic,False,0
B5C1,Authentic,False,1
B5C2,Authentic,False,0
C1u-3,Authentic,True,1
C2u-3,Authentic,True,0
C1u-4,Authentic,True,1
C2u-4,Authentic,True,0
C1b1,Authentic,True,1
C1b2,Authentic,True,1
C2b1,Authentic,True,0
C2b2,Authentic,True,0
B-7C1u-4,Authentic,False,1
B-7C2u-4,Authentic,False,0
B-7C1u-3,Authentic,False,1
B-7C2u-3,Authentic,False,0
B5C1u-4,Authentic,False,1
B5C2u-4,Authentic,False,0
B5C1u-3,Authentic,False,1
B5C2u-3,Authentic,False,0
C1L12T-2,Leaping Contratenor,False,1
C2L12T-2,Leaping Contratenor,False,0
xRestyRestzRest,Authentic,True,-1
