Ngram,LowerCVF,UpperCVF
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_-2, 8",T,C
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_-2, 8",T,C
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 5_-2, 8",T,C
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 5_1, 6_-2, 8",T,C
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_1, 5_-2, 8",T,C
"^(Rest_1|7_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_1, 5_1, 6_-2, 8",T,C
"^[^Rest]_1, 7_1, 6_-2, 8",,
"^([\-]?.|Rest)_1, -7_-2, -6_2, -8",C,T
"^([\-]?.|Rest)_1, -7_-2, -6_-2, -5_3, -8",C,T
"^([\-]?.|Rest)_1, -7_-2, -6_-2, -5_2, -6_2, -8",C,T
"^([\-]?.|Rest)_1, -7_-2, -6_1, -6_-2, -5_3, -8",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_2, 1",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_-2, 4_3, 1",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_1, 3_-2, 4_3, 1",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_-2, 4_2, 3_2, 1",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_1, 3_-2, 4_2, 3_2, 1",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_1, 3_-2, 4_2, 3_2, 8",C,T
"^([\-]?.|Rest)_1, 2_-2, 3_-2, 3",c,T
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_-2, 1",T,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_1, -4_-2, 1",T,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_1, -3_1, -4_-2, 1",T,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_1, -4_1, -3_-2, 1",T,C
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_2, 6",t,C
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_1, 5_1, 6_2, 6",t,C
"^([\-]?.|Rest)_1, 2_-2, 3_2, 3",C,t
"^([\-]?.|Rest)_1, 2_-2, 3_1, 3_-2, 4_2, 3_2, 3",C,t
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_Rest:-2, Rest",z,c
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_Rest:-2, Rest",z,c
"^([\-]?.|Rest)_1, 7_1, 6_Rest:-2, Rest",,
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_Rest:Rest, Rest",z,y
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_1, -3_Rest:Rest, Rest",z,y
"^([\-]?.|Rest)_1, 2_-2, 3_2, Rest",C,z
"^([\-]?.|Rest)_1, 2_-2, 3_Rest:Rest, Rest",y,z
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_Rest:2, Rest",z,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_1, -3_Rest:2, Rest",z,C
"8_5, 4_1, 3_Rest:-2, Rest",x,c
"Rest_1, 4_1, 3_-2, 5",T,A
"5_2, 4_1, 3_-2, 5",T,A
"3_-2, 4_1, 3_-2, 5",T,A
"3_-2, 4_1, 3_1, 2_-2, 5",T,A
"3_-2, 4_1, 3_1, 3_1, 2_-2, 5",T,A
"3_-2, 4_1, 3_1, 2_1, 3_-2, 5",T,A
"4_1, 3_1, 2_1, 3_1, 3_-2, 5",T,A
"-3_1, -4_-2, -3_2, -5",A,T
"-3_1, -4_-2, -3_-2, -2_3, -5",A,T
"-3_1, -4_-2, -3_-2, -2_2, -3_2, -5",A,T
"-3_1, -4_-2, -3_1, -3_-2, -2_3, -5",A,T
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_-5, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 3_-5, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 2_-5, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 3_1, 2_-5, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 2_1, 3_-5, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 2_1, 3_4, 8",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 2_1, 3_4, 1",B,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_1, 3_1, 2_1, 3_-5, 8",B,C
"-4_-2, -3_2, -8",C,B
"-4_-2, -3_2, 1",C,B
"-4_-2, -3_-2, -2_3, -8",C,B
"-4_-2, -3_-2, -2_3, 1",C,B
"-4_-2, -3_1, -3_-2, -2_3, -8",C,B
