index,CadType,Evaded,LeadingTones,Low,RelLow,Tone,RelTone,Measure,Beat,Progress,SinceLast,ToNext,URL,0,1,2,3
12.0,Authentic,False,1,B-2,m3,B-,m3,2,3.0,0.03,12.0,28.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,B
40.0,Authentic,False,1,D3,P5,D,-P4,6,1.0,0.101,28.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,T,u,C,B
60.0,Clausula Vera,False,1,G2,P1,G,P1,8,3.0,0.152,20.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,T
76.0,Authentic,False,1,G2,P1,G,P1,10,3.0,0.192,16.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,u,T,B
92.0,Authentic,False,1,B-2,m3,B-,m3,12,3.0,0.232,16.0,28.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,B
120.0,Authentic,False,1,D3,P5,D,-P4,16,1.0,0.303,28.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,T,u,C,B
140.0,Clausula Vera,False,1,G2,P1,G,P1,18,3.0,0.354,20.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,T
156.0,Authentic,False,1,G2,P1,G,P1,20,3.0,0.394,16.0,36.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,u,T,B
192.0,Authentic,False,1,B-2,m3,B-,m3,25,1.0,0.485,36.0,36.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,u,T,B
228.0,Plagal,False,1,D3,P5,A,M2,29,3.0,0.576,36.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,-,T,P
248.0,Authentic,False,1,B-2,m3,B-,m3,32,1.0,0.626,20.0,28.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,B
276.0,Authentic,False,1,D3,P5,D,-P4,35,3.0,0.697,28.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,T,u,C,B
296.0,Clausula Vera,False,1,G2,P1,G,P1,38,1.0,0.747,20.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,T
312.0,Authentic,False,1,G2,P1,G,P1,40,1.0,0.788,16.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,-,T,B
332.0,Authentic,False,1,B-2,m3,B-,m3,42,3.0,0.838,20.0,28.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,B
360.0,Authentic,False,1,D3,P5,D,-P4,46,1.0,0.909,28.0,20.0,https://crimproject.org/mei/CRIM_Model_0012.mei,T,u,C,B
380.0,Clausula Vera,False,1,G2,P1,G,P1,48,3.0,0.96,20.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,t,-,C,T
396.0,Authentic,False,1,G2,P1,G,P1,50,3.0,1.0,16.0,16.0,https://crimproject.org/mei/CRIM_Model_0012.mei,C,-,T,B
